matrix_type,sigma,rank,solver,psnr_mean,time_ms_median,success_rate,full_convergence_rate
dense,0.0,1,np_solve,99.0,6.9982,1.0,1.0
dense,0.0,2,lu,99.0,256.56345,1.0,1.0
dense,0.0,3,gmres,99.0,382.0385,1.0,1.0
dense,0.0,4,gaussian,99.0,1333.3087500000001,1.0,1.0
dense,0.0,5,gauss_seidel,99.0,5387.571,1.0,0.16666666666666666
dense,0.01,1,np_solve,67.0373349805397,6.77085,1.0,1.0
dense,0.01,2,lu,67.0373349805397,240.28064999999998,1.0,1.0
dense,0.01,3,gaussian,67.0373349805397,1241.85115,1.0,1.0
dense,0.01,4,gmres,67.0373349509921,353.3863,1.0,1.0
dense,0.01,5,gauss_seidel,67.03733468846264,2418.2898999999998,1.0,1.0
dense,0.03,1,np_solve,57.49970993978094,6.72065,1.0,1.0
dense,0.03,2,lu,57.49970993978094,239.316,1.0,1.0
dense,0.03,3,gaussian,57.49970993978094,1245.6721,1.0,1.0
dense,0.03,4,gmres,57.49970993685037,354.8752,1.0,1.0
dense,0.03,5,gauss_seidel,57.49970981032128,2392.7713999999996,1.0,1.0
dense,0.07,1,gauss_seidel,50.14246659204883,2501.74655,1.0,1.0
dense,0.07,2,gmres,50.142466586078854,369.27464999999995,1.0,1.0
dense,0.07,3,np_solve,50.14246658275146,6.800750000000001,1.0,1.0
dense,0.07,4,gaussian,50.14246658275146,1291.1804000000002,1.0,1.0
dense,0.07,5,lu,50.14246658275145,247.25164999999998,1.0,1.0
dense,0.12,1,np_solve,45.45967746898838,6.73395,1.0,1.0
dense,0.12,2,lu,45.45967746898838,240.16109999999998,1.0,1.0
dense,0.12,3,gaussian,45.45967746898838,1246.5740999999998,1.0,1.0
dense,0.12,4,gmres,45.45967745667657,354.7691,1.0,1.0
dense,0.12,5,gauss_seidel,45.459677434337124,2382.7160000000003,1.0,1.0
sparse,0.0,1,np_solve,99.0,6.7753499999999995,1.0,1.0
sparse,0.0,2,lu,99.0,245.06685,1.0,1.0
sparse,0.0,3,gmres,99.0,362.1702,1.0,1.0
sparse,0.0,4,gaussian,99.0,1273.2145,1.0,1.0
sparse,0.0,5,gauss_seidel,99.0,3217.2153500000004,1.0,0.16666666666666666
sparse,0.01,1,gauss_seidel,59.54923657906161,2446.75015,1.0,1.0
sparse,0.01,2,np_solve,59.54923649334403,6.8781,1.0,1.0
sparse,0.01,3,lu,59.54923649334403,248.4437,1.0,1.0
sparse,0.01,4,gaussian,59.54923649334403,1284.3172,1.0,1.0
sparse,0.01,5,gmres,59.549236486745876,367.5476,1.0,1.0
sparse,0.03,1,gmres,50.02527701976963,358.80845,1.0,1.0
sparse,0.03,2,np_solve,50.02527698787992,6.7529,1.0,1.0
sparse,0.03,3,lu,50.02527698787992,242.92194999999998,1.0,1.0
sparse,0.03,4,gaussian,50.02527698787992,1258.6471999999999,1.0,1.0
sparse,0.03,5,gauss_seidel,50.02527697579819,2392.7333,1.0,1.0
sparse,0.07,1,gmres,42.66893217196613,371.91025,1.0,1.0
sparse,0.07,2,np_solve,42.66893215727527,6.9028,1.0,1.0
sparse,0.07,3,lu,42.66893215727527,251.07575,1.0,1.0
sparse,0.07,4,gaussian,42.66893215727527,1311.905,1.0,1.0
sparse,0.07,5,gauss_seidel,42.66893214643173,2470.7357,1.0,1.0
sparse,0.12,1,gmres,37.99875066869965,359.17635,1.0,1.0
sparse,0.12,2,np_solve,37.99875064809429,6.77855,1.0,1.0
sparse,0.12,3,lu,37.99875064809429,242.65269999999998,1.0,1.0
sparse,0.12,4,gaussian,37.99875064809429,1262.83605,1.0,1.0
sparse,0.12,5,gauss_seidel,37.99875063924406,2382.01345,1.0,1.0
